vid,uid,split,fid,exp
-Be9nUG_Vzk_60000_70000,-Be9nUG_Vzk_60000_70000_airplane_2,train,0,The sounding object.
-Be9nUG_Vzk_60000_70000,-Be9nUG_Vzk_60000_70000_airplane_3,train,0,The object making a sound by taking off.
-Be9nUG_Vzk_7000_17000,-Be9nUG_Vzk_7000_17000_airplane_1,train,1,The object that keeps making sound at all times.
-Be9nUG_Vzk_7000_17000,-Be9nUG_Vzk_7000_17000_airplane_2,train,1,The airplane appearing through the entire video.
-Be9nUG_Vzk_7000_17000,-Be9nUG_Vzk_7000_17000_airplane_3,train,1,The object making the loudest sound.
-Be9nUG_Vzk_85000_95000,-Be9nUG_Vzk_85000_95000_airplane_1,train,1,The sounding object.
-Be9nUG_Vzk_85000_95000,-Be9nUG_Vzk_85000_95000_airplane_2,train,1,The object making the loudest sound.
-Be9nUG_Vzk_85000_95000,-Be9nUG_Vzk_85000_95000_airplane_3,train,1,The object that keeps making sound at all times.
-EuFwreCO2o_118000_128000,-EuFwreCO2o_118000_128000_cello_1,train,0,The object that keeps making sound at all times.
-EuFwreCO2o_118000_128000,-EuFwreCO2o_118000_128000_cello_2,train,0,The object making longer sound duration than the violin.
-EuFwreCO2o_118000_128000,-EuFwreCO2o_118000_128000_cello_3,train,0,The object making the loudest sound.
-EuFwreCO2o_118000_128000,-EuFwreCO2o_118000_128000_violin_1,train,3,The object making lower sound than the cello.
-EuFwreCO2o_118000_128000,-EuFwreCO2o_118000_128000_violin_2,train,3,The object making a sound by being played by the man on the left.
-EuFwreCO2o_118000_128000,-EuFwreCO2o_118000_128000_violin_3,train,3,The sounding object on the left of the cello.
-EuFwreCO2o_9000_19000,-EuFwreCO2o_9000_19000_cello_1,train,1,The object making the shortest sound duration.
-EuFwreCO2o_9000_19000,-EuFwreCO2o_9000_19000_cello_2,train,1,The object making a sound by playing the cello.
-EuFwreCO2o_9000_19000,-EuFwreCO2o_9000_19000_cello_3,train,1,The sounding object on the right of the violin.
-EuFwreCO2o_9000_19000,-EuFwreCO2o_9000_19000_violin_1,train,0,The object making the longest sound duration.
-EuFwreCO2o_9000_19000,-EuFwreCO2o_9000_19000_violin_2,train,0,The object making a sound by playing the violin.
-EuFwreCO2o_9000_19000,-EuFwreCO2o_9000_19000_violin_3,train,0,The sounding object on the left of the cello.
-EuFwreCO2o_92000_102000,-EuFwreCO2o_92000_102000_violin_2,train,0,The violin on the left of the cello.
-EuFwreCO2o_92000_102000,-EuFwreCO2o_92000_102000_violin_3,train,0,The object making a sound by being played by the man on the left.
-F9cV7V6JLQ_110000_120000,-F9cV7V6JLQ_110000_120000_cello_1,train,2,The object making a sound by being played a man.
-F9cV7V6JLQ_110000_120000,-F9cV7V6JLQ_110000_120000_cello_2,train,1,The cello held by the man in red.
-F9cV7V6JLQ_110000_120000,-F9cV7V6JLQ_110000_120000_cello_3,train,1,The object making lower sound than the violin.
-F9cV7V6JLQ_110000_120000,-F9cV7V6JLQ_110000_120000_violin_1,train,0,The sounding object on the left of the cello.
-F9cV7V6JLQ_110000_120000,-F9cV7V6JLQ_110000_120000_violin_2,train,0,The object making a sound by being played by the woman.
-F9cV7V6JLQ_110000_120000,-F9cV7V6JLQ_110000_120000_violin_3,train,0,The object making the loudest sound.
-F9cV7V6JLQ_122000_132000,-F9cV7V6JLQ_122000_132000_cello_1,train,1,The object making a sound by being played by the man.
-F9cV7V6JLQ_122000_132000,-F9cV7V6JLQ_122000_132000_cello_2,train,1,The sounding object on the right of the violin.
-F9cV7V6JLQ_122000_132000,-F9cV7V6JLQ_122000_132000_cello_3,train,1,The object making lower sound than the violin.
-F9cV7V6JLQ_122000_132000,-F9cV7V6JLQ_122000_132000_violin_1,train,0,The object making a sound by being played by the woman.
-F9cV7V6JLQ_122000_132000,-F9cV7V6JLQ_122000_132000_violin_2,train,0,The object making the loudest sound.
-F9cV7V6JLQ_122000_132000,-F9cV7V6JLQ_122000_132000_violin_3,train,0,The sounding object on the left of the cello.
-F9cV7V6JLQ_134000_144000,-F9cV7V6JLQ_134000_144000_cello_1,train,1,The object making lower sound than the violin.
-F9cV7V6JLQ_134000_144000,-F9cV7V6JLQ_134000_144000_cello_2,train,2,The sounding object on the right of the violin.
-F9cV7V6JLQ_134000_144000,-F9cV7V6JLQ_134000_144000_cello_3,train,2,The object making a sound by being played by the man.
-F9cV7V6JLQ_134000_144000,-F9cV7V6JLQ_134000_144000_violin_1,train,0,the sounding object on the left.
-F9cV7V6JLQ_134000_144000,-F9cV7V6JLQ_134000_144000_violin_2,train,0,The object making a sound by being played by the woman.
-F9cV7V6JLQ_134000_144000,-F9cV7V6JLQ_134000_144000_violin_3,train,0,The sounding object on the left of the cello.
-F9cV7V6JLQ_145000_155000,-F9cV7V6JLQ_145000_155000_cello_1,train,0,The object making a sound by being played by the man.
-F9cV7V6JLQ_145000_155000,-F9cV7V6JLQ_145000_155000_cello_2,train,0,The sounding object in front of the man.
-F9cV7V6JLQ_145000_155000,-F9cV7V6JLQ_145000_155000_cello_3,train,0,The object making lower sound than the violin.
-F9cV7V6JLQ_145000_155000,-F9cV7V6JLQ_145000_155000_violin_1,train,1,The object making a sound by being played by the woman.
-F9cV7V6JLQ_145000_155000,-F9cV7V6JLQ_145000_155000_violin_2,train,1,The object being played by the woman.
-F9cV7V6JLQ_145000_155000,-F9cV7V6JLQ_145000_155000_violin_3,train,1,The object making the loudest sound.
-F9cV7V6JLQ_20000_30000,-F9cV7V6JLQ_20000_30000_cello_1,train,1,The object making a sound by being played by the man.
-F9cV7V6JLQ_20000_30000,-F9cV7V6JLQ_20000_30000_cello_2,train,1,The sounding object in front of the man.
-F9cV7V6JLQ_20000_30000,-F9cV7V6JLQ_20000_30000_cello_3,train,1,The object making the fastest rhythm.
-F9cV7V6JLQ_20000_30000,-F9cV7V6JLQ_20000_30000_violin_1,train,0,The object making a sound by being played by the woman.
-F9cV7V6JLQ_20000_30000,-F9cV7V6JLQ_20000_30000_violin_2,train,0,The object making the loudest sound.
-F9cV7V6JLQ_20000_30000,-F9cV7V6JLQ_20000_30000_violin_3,train,0,The object making the slowest rhythm.
-F9cV7V6JLQ_33000_43000,-F9cV7V6JLQ_33000_43000_cello_1,train,1,The object making a sound by being played by the man.
-F9cV7V6JLQ_33000_43000,-F9cV7V6JLQ_33000_43000_cello_2,train,1,The sounding object in front of the man.
-F9cV7V6JLQ_33000_43000,-F9cV7V6JLQ_33000_43000_cello_3,train,1,The object rhythm is faster over the time.
-F9cV7V6JLQ_33000_43000,-F9cV7V6JLQ_33000_43000_violin_1,train,0,The object making a sound by being played by the woman.
-F9cV7V6JLQ_33000_43000,-F9cV7V6JLQ_33000_43000_violin_2,train,0,The sounding object on the left of the cello.
-F9cV7V6JLQ_33000_43000,-F9cV7V6JLQ_33000_43000_violin_3,train,0,The object rhythm is slower over the time.
-F9cV7V6JLQ_45000_55000,-F9cV7V6JLQ_45000_55000_cello_1,train,1,The first object to make a sound.
-F9cV7V6JLQ_45000_55000,-F9cV7V6JLQ_45000_55000_cello_2,train,1,The object making a sound by being played by the man.
-F9cV7V6JLQ_45000_55000,-F9cV7V6JLQ_45000_55000_cello_3,train,1,The object making a sound by being played by the person on the right.
-F9cV7V6JLQ_45000_55000,-F9cV7V6JLQ_45000_55000_violin_1,train,0,The object making a sound by being played by a woman.
-F9cV7V6JLQ_45000_55000,-F9cV7V6JLQ_45000_55000_violin_2,train,0,The object that making a sound after the cello.
-F9cV7V6JLQ_45000_55000,-F9cV7V6JLQ_45000_55000_violin_3,train,0,The object making a sound by being played by the person on the left.
-F9cV7V6JLQ_59000_69000,-F9cV7V6JLQ_59000_69000_cello_1,train,1,The object making a sound by being played by the man.
-F9cV7V6JLQ_59000_69000,-F9cV7V6JLQ_59000_69000_cello_2,train,1,The sounding object on the right of the violin.
-F9cV7V6JLQ_59000_69000,-F9cV7V6JLQ_59000_69000_cello_3,train,1,The sounding object near the bald man.
-F9cV7V6JLQ_59000_69000,-F9cV7V6JLQ_59000_69000_violin_1,train,0,The object making a sound by being played by the woman.
-F9cV7V6JLQ_59000_69000,-F9cV7V6JLQ_59000_69000_violin_2,train,0,The object making the loudest sound.
-F9cV7V6JLQ_59000_69000,-F9cV7V6JLQ_59000_69000_violin_3,train,0,The sounding object on the left of the man.
-F9cV7V6JLQ_69000_79000,-F9cV7V6JLQ_69000_79000_cello_1,train,1,The sounding object on the right of the violin.
-F9cV7V6JLQ_69000_79000,-F9cV7V6JLQ_69000_79000_cello_2,train,1,The object making a sound by being played by a man.
-F9cV7V6JLQ_69000_79000,-F9cV7V6JLQ_69000_79000_cello_3,train,1,The sounding object in front of the man.
-F9cV7V6JLQ_69000_79000,-F9cV7V6JLQ_69000_79000_violin_1,train,0,The object making a sound by being played by a woman.
-F9cV7V6JLQ_69000_79000,-F9cV7V6JLQ_69000_79000_violin_2,train,0,The sounding object on the left of the cello.
-F9cV7V6JLQ_69000_79000,-F9cV7V6JLQ_69000_79000_violin_3,train,0,The sounding object on the left of the sounding cello.
-F9cV7V6JLQ_8000_18000,-F9cV7V6JLQ_8000_18000_cello_1,train,0,The sounding object on the right of the violin.
-F9cV7V6JLQ_8000_18000,-F9cV7V6JLQ_8000_18000_cello_2,train,0,The first object to make a sound.
-F9cV7V6JLQ_8000_18000,-F9cV7V6JLQ_8000_18000_cello_3,train,0,The object making lower sound than the violin.
-F9cV7V6JLQ_8000_18000,-F9cV7V6JLQ_8000_18000_violin_1,train,1,The sounding object on the left of the cello.
-F9cV7V6JLQ_8000_18000,-F9cV7V6JLQ_8000_18000_violin_2,train,1,The object making a sound by being played by the woman.
-F9cV7V6JLQ_8000_18000,-F9cV7V6JLQ_8000_18000_violin_3,train,1,The object making the loudest sound.
-F9cV7V6JLQ_82000_92000,-F9cV7V6JLQ_82000_92000_cello_1,train,1,The object making a sound by being played by the man.
-F9cV7V6JLQ_82000_92000,-F9cV7V6JLQ_82000_92000_cello_2,train,1,The sounding object on the right of the violin.
-F9cV7V6JLQ_82000_92000,-F9cV7V6JLQ_82000_92000_cello_3,train,1,The sounding object near the man.
-F9cV7V6JLQ_82000_92000,-F9cV7V6JLQ_82000_92000_violin_1,train,0,The object making a sound by being played by the woman.
-F9cV7V6JLQ_82000_92000,-F9cV7V6JLQ_82000_92000_violin_2,train,0,The object making the loudest sound.
-F9cV7V6JLQ_82000_92000,-F9cV7V6JLQ_82000_92000_violin_3,train,0,The sounding object near the woman.
-F9cV7V6JLQ_97000_107000,-F9cV7V6JLQ_97000_107000_cello_1,train,1,The object making a sound by being played by the man.
-F9cV7V6JLQ_97000_107000,-F9cV7V6JLQ_97000_107000_cello_2,train,1,The object making the lowest sound.
-F9cV7V6JLQ_97000_107000,-F9cV7V6JLQ_97000_107000_cello_3,train,1,The object held by the man.
-F9cV7V6JLQ_97000_107000,-F9cV7V6JLQ_97000_107000_violin_1,train,0,The object making a sound by being played by the woman.
-F9cV7V6JLQ_97000_107000,-F9cV7V6JLQ_97000_107000_violin_2,train,0,The object making the loudest sound.
-F9cV7V6JLQ_97000_107000,-F9cV7V6JLQ_97000_107000_violin_3,train,0,The object held by the woman.
-H1_pKntTx4_290000_300000,-H1_pKntTx4_290000_300000_helicopter_1,train,0,The sounding object.
-H1_pKntTx4_290000_300000,-H1_pKntTx4_290000_300000_helicopter_2,train,0,The object that keeps making sound at all times.
-H1_pKntTx4_290000_300000,-H1_pKntTx4_290000_300000_helicopter_3,train,0,The object having a propeller.
-HeRZSisQLY_10000_20000,-HeRZSisQLY_10000_20000_keyboard_1,train,0,The sounding object.
-HeRZSisQLY_10000_20000,-HeRZSisQLY_10000_20000_keyboard_3,train,0,The object that keeps making sound at all times.
-HeRZSisQLY_30000_40000,-HeRZSisQLY_30000_40000_keyboard_1,train,0,The sounding object.
-HeRZSisQLY_30000_40000,-HeRZSisQLY_30000_40000_keyboard_2,train,0,The object making a sound by being tapped by the man.
-HeRZSisQLY_30000_40000,-HeRZSisQLY_30000_40000_keyboard_3,train,0,The object that keeps making sound at all times.
-KECxvZZHYg_21000_31000,-KECxvZZHYg_21000_31000_helicopter_1,train,0,The object that keeps making sound at all times.
-KECxvZZHYg_21000_31000,-KECxvZZHYg_21000_31000_helicopter_2,train,0,The sounding object.
-KECxvZZHYg_21000_31000,-KECxvZZHYg_21000_31000_helicopter_3,train,0,The object making a sound by rotating propeller.
-LaELrishqU_151000_161000,-LaELrishqU_151000_161000_guitar_1,train,0,The guitar being played by a man.
-LaELrishqU_151000_161000,-LaELrishqU_151000_161000_guitar_2,train,0,The object making the fastest rhythm.
-LaELrishqU_151000_161000,-LaELrishqU_151000_161000_man_1,train,2,The object making a sound by sing a song.
-LaELrishqU_151000_161000,-LaELrishqU_151000_161000_man_2,train,2,The object making the slowest rhythm.
-LaELrishqU_151000_161000,-LaELrishqU_151000_161000_man_3,train,2,The object making a sound by playing the guitar.
-LaELrishqU_89000_99000,-LaELrishqU_89000_99000_guitar_1,train,0,The object make a sound by being played by the man
-LaELrishqU_89000_99000,-LaELrishqU_89000_99000_guitar_2,train,0,The guitar being played by a man.
-LaELrishqU_89000_99000,-LaELrishqU_89000_99000_guitar_3,train,0,The object making the lowest sound.
-LaELrishqU_89000_99000,-LaELrishqU_89000_99000_man_1,train,1,The object making a sound by singing and playing the guitar
-LaELrishqU_89000_99000,-LaELrishqU_89000_99000_man_2,train,1,The object making a sound by singing and playing the guitar.
-OSpN9z9WOg_19000_29000,-OSpN9z9WOg_19000_29000_clock_1,train,1,The object making the fastest rhythm.
-OSpN9z9WOg_19000_29000,-OSpN9z9WOg_19000_29000_clock_2,train,1,The sounding object.
-OSpN9z9WOg_19000_29000,-OSpN9z9WOg_19000_29000_clock_3,train,1,The object making the loudest sound.
-OSpN9z9WOg_19000_29000,-OSpN9z9WOg_19000_29000_keyboard_1,train,0,The keyboard.
-OSpN9z9WOg_19000_29000,-OSpN9z9WOg_19000_29000_keyboard_2,train,0,The object with dozens of letter symbols on it.
-OSpN9z9WOg_19000_29000,-OSpN9z9WOg_19000_29000_keyboard_3,train,0,The object consists of many rectangular parts.
-P4vTWptn54_115000_125000,-P4vTWptn54_115000_125000_guitar_1,train,0,The object making a sound by being played by the man.
-P4vTWptn54_115000_125000,-P4vTWptn54_115000_125000_guitar_2,train,0,The brown guitar.
-P4vTWptn54_115000_125000,-P4vTWptn54_115000_125000_man_1,train,1,The object making a sound by singing a song.
-P4vTWptn54_115000_125000,-P4vTWptn54_115000_125000_man_2,train,1,The man wearing a kerchief and playing the guitar.
-P4vTWptn54_25000_35000,-P4vTWptn54_25000_35000_guitar_1,train,0,The object making a sound by being played by the man.
-P4vTWptn54_25000_35000,-P4vTWptn54_25000_35000_man_1,train,1,The object making a sound by singing and playing.
-P4vTWptn54_25000_35000,-P4vTWptn54_25000_35000_man_2,train,1,The man playing a guitar.
-RdYRbblnyU_10000_20000,-RdYRbblnyU_10000_20000_clarinet_1,train,1,The clarinet being played by a man.
-RdYRbblnyU_10000_20000,-RdYRbblnyU_10000_20000_clarinet_2,train,1,The sounding object.
-RdYRbblnyU_10000_20000,-RdYRbblnyU_10000_20000_clarinet_3,train,1,The object that keeps making sound at all times.
-RdYRbblnyU_95000_105000,-RdYRbblnyU_95000_105000_clarinet_1,train,1,The object that making a sound after the piano.
-RdYRbblnyU_95000_105000,-RdYRbblnyU_95000_105000_clarinet_2,train,1,The object making a sound by being played by the man.
-RdYRbblnyU_95000_105000,-RdYRbblnyU_95000_105000_clarinet_3,train,1,The object making the shortest sound duration.
-RdYRbblnyU_95000_105000,-RdYRbblnyU_95000_105000_piano_1,train,0,The first object to make a sound.
-RdYRbblnyU_95000_105000,-RdYRbblnyU_95000_105000_piano_2,train,0,The object making longer sound duration than the clarinet.
-UGNqh-iwAo_17000_27000,-UGNqh-iwAo_17000_27000_guitar_1,train,0,The first object to make a sound.
-UGNqh-iwAo_17000_27000,-UGNqh-iwAo_17000_27000_guitar_2,train,0,The object making a sound by playing the guitar.
-UGNqh-iwAo_17000_27000,-UGNqh-iwAo_17000_27000_woman_1,train,1,The object making a sound by singing a song.
-UGNqh-iwAo_17000_27000,-UGNqh-iwAo_17000_27000_woman_2,train,1,The woman playing the guitar and singing.
-UGNqh-iwAo_70000_80000,-UGNqh-iwAo_70000_80000_guitar_1,train,0,The sounding object near the woman who is singing a song.
-UGNqh-iwAo_70000_80000,-UGNqh-iwAo_70000_80000_guitar_2,train,0,The object making a sound by being played by the woman.
-UGNqh-iwAo_70000_80000,-UGNqh-iwAo_70000_80000_guitar_3,train,0,The object making the longest sound duration.
-UGNqh-iwAo_70000_80000,-UGNqh-iwAo_70000_80000_woman_1,train,4,The object making a sound by singing and playing guitar.
-V3o2cvrYwg_8000_18000,-V3o2cvrYwg_8000_18000_girl_1,train,2,The girl holding a pipa.
-V3o2cvrYwg_8000_18000,-V3o2cvrYwg_8000_18000_girl_2,train,2,The girl wearing glasses and playing a pipa.
-V3o2cvrYwg_8000_18000,-V3o2cvrYwg_8000_18000_girl_3,train,0,The object making a sound by playing guzheng.
-V3o2cvrYwg_8000_18000,-V3o2cvrYwg_8000_18000_guzheng_1,train,3,The first object to make a sound.
-V3o2cvrYwg_8000_18000,-V3o2cvrYwg_8000_18000_guzheng_2,train,3,The sounding object on the right of the pipa.
-V3o2cvrYwg_8000_18000,-V3o2cvrYwg_8000_18000_guzheng_3,train,3,The object making a sound by being played by the short hair girl in front of the cabinet.
-V3o2cvrYwg_8000_18000,-V3o2cvrYwg_8000_18000_pipa_1,train,1,pipa.
-V3o2cvrYwg_8000_18000,-V3o2cvrYwg_8000_18000_pipa_2,train,1,The sounding object on the left of the guzheng.
-V3o2cvrYwg_8000_18000,-V3o2cvrYwg_8000_18000_pipa_3,train,1,The object making a sound by being played by the girl with tied hair near the window.
-V3o2cvrYwg_8000_18000,-V3o2cvrYwg_8000_18000_woman_1,train,0,The woman playing a guzheng.
-XkRMVVb-NU_100000_110000,-XkRMVVb-NU_100000_110000_cello_1,train,1,The object making the loudest sound.
-XkRMVVb-NU_100000_110000,-XkRMVVb-NU_100000_110000_cello_2,train,1,The object making a sound by being played by the woman.
-XkRMVVb-NU_100000_110000,-XkRMVVb-NU_100000_110000_cello_3,train,1,The object making a sound by being played by the woman in pink dress.
-XkRMVVb-NU_100000_110000,-XkRMVVb-NU_100000_110000_saxophone_1,train,3,The object being held by the person on the far right.
-XkRMVVb-NU_100000_110000,-XkRMVVb-NU_100000_110000_saxophone_2,train,2,The sounding object on the left of the cello.
-XkRMVVb-NU_100000_110000,-XkRMVVb-NU_100000_110000_saxophone_3,train,2,The sounding object on the left of the woman in pink dress.
-XkRMVVb-NU_20000_30000,-XkRMVVb-NU_20000_30000_cello_1,train,2,The object making the loudest sound.
-XkRMVVb-NU_20000_30000,-XkRMVVb-NU_20000_30000_cello_2,train,2,The object making a sound by being played by the woman.
-XkRMVVb-NU_20000_30000,-XkRMVVb-NU_20000_30000_cello_3,train,2,The sounding object in front of the woman.
-XkRMVVb-NU_20000_30000,-XkRMVVb-NU_20000_30000_saxophone_1,train,1,The object being held by the man on the far left.
-XkRMVVb-NU_20000_30000,-XkRMVVb-NU_20000_30000_saxophone_2,train,1,The object making a sound by being played by the man on the far left
-XkRMVVb-NU_20000_30000,-XkRMVVb-NU_20000_30000_saxophone_3,train,1,The object making a sound by being played by the first man from left.
-arl_sbZfDg_172000_182000,-arl_sbZfDg_172000_182000_pipa_1,train,0,The first object to make a sound.
-arl_sbZfDg_172000_182000,-arl_sbZfDg_172000_182000_pipa_2,train,0,The object making the fastest rhythm.
-arl_sbZfDg_172000_182000,-arl_sbZfDg_172000_182000_pipa_3,train,0,The object making a sound by being played by the woman wearing a red dress.
-arl_sbZfDg_52000_62000,-arl_sbZfDg_52000_62000_guzheng_1,train,0,The object making a sound by being played by the woman in black.
-arl_sbZfDg_52000_62000,-arl_sbZfDg_52000_62000_guzheng_2,train,0,The sounding object near the woman in black.
-arl_sbZfDg_52000_62000,-arl_sbZfDg_52000_62000_guzheng_3,train,0,The first object to make a sound.
-cLOg0sQ0Zo_350000_360000,-cLOg0sQ0Zo_350000_360000_man_1,train,0,The person holding a hair dryer
-cLOg0sQ0Zo_350000_360000,-cLOg0sQ0Zo_350000_360000_man_2,train,0,The man appearing through the entire video.
-iPvFoDVJLM_77000_87000,-iPvFoDVJLM_77000_87000_dog_1,train,1,The sounding dog on the left of the man wearing shorts
-iPvFoDVJLM_77000_87000,-iPvFoDVJLM_77000_87000_dog_2,train,1,The first object to make a sound.
-iPvFoDVJLM_77000_87000,-iPvFoDVJLM_77000_87000_dog_3,train,2,The object that making a sound before the man.
-iPvFoDVJLM_77000_87000,-iPvFoDVJLM_77000_87000_man_1,train,0,The man near the dog.
-iPvFoDVJLM_77000_87000,-iPvFoDVJLM_77000_87000_man_3,train,3,The man on the right of the dog in the right.
-jcWMBunJng_180000_190000,-jcWMBunJng_180000_190000_flute_1,train,3,The last object to make a sound.
-jcWMBunJng_180000_190000,-jcWMBunJng_180000_190000_flute_2,train,3,The object making a sound by being played by the man standing on the right.
-jcWMBunJng_180000_190000,-jcWMBunJng_180000_190000_flute_3,train,3,The object that making a sound after the piano.
-jcWMBunJng_180000_190000,-jcWMBunJng_180000_190000_man_1,train,0,The man near the sounding flute.
-jcWMBunJng_180000_190000,-jcWMBunJng_180000_190000_piano_1,train,1,The object rhythm is slower over the time.
-jcWMBunJng_180000_190000,-jcWMBunJng_180000_190000_piano_3,train,1,The first object to make a sound.
-jcWMBunJng_60000_70000,-jcWMBunJng_60000_70000_flute_1,train,2,The object making louder sound than the piano.
-jcWMBunJng_60000_70000,-jcWMBunJng_60000_70000_flute_2,train,2,The object making the loudest sound.
-jcWMBunJng_60000_70000,-jcWMBunJng_60000_70000_flute_3,train,2,The object rhythm is faster over the time.
-jcWMBunJng_60000_70000,-jcWMBunJng_60000_70000_piano_1,train,0,The object making a sound by being played by the man on the left.
-jcWMBunJng_60000_70000,-jcWMBunJng_60000_70000_piano_2,train,0,The object making the lowest sound.
-mmAOM2a8XQ_120000_130000,-mmAOM2a8XQ_120000_130000_harp_1,train,0,The sounding object on the left of the sounding marimba.
-mmAOM2a8XQ_120000_130000,-mmAOM2a8XQ_120000_130000_harp_2,train,0,The object making a sound by being played by the sitting man.
-mmAOM2a8XQ_120000_130000,-mmAOM2a8XQ_120000_130000_harp_3,train,0,The harp being played by the person on the left.
-mmAOM2a8XQ_9000_19000,-mmAOM2a8XQ_9000_19000_harp_1,train,0,The object making a sound by being played by the player on the left.
-mmAOM2a8XQ_9000_19000,-mmAOM2a8XQ_9000_19000_harp_2,train,0,The sounding object on the left of the marimba.
-mmAOM2a8XQ_9000_19000,-mmAOM2a8XQ_9000_19000_harp_3,train,0,The sounding object near the player on the left.
-ndoyDLk2VE_0_10000,-ndoyDLk2VE_0_10000_piano_1,train,4,The sounding piano.
-ndoyDLk2VE_0_10000,-ndoyDLk2VE_0_10000_piano_2,train,4,The object that keeps making sound at all times.
-ndoyDLk2VE_0_10000,-ndoyDLk2VE_0_10000_piano_3,train,4,The piano being played by a woman.
-ndoyDLk2VE_0_10000,-ndoyDLk2VE_0_10000_woman_1,train,0,The object making a sound by play the piano.
-ndoyDLk2VE_0_10000,-ndoyDLk2VE_0_10000_woman_2,train,0,The woman playing the piano.
-ndoyDLk2VE_0_10000,-ndoyDLk2VE_0_10000_woman_3,train,0,The woman playing a piano.
-pnU9cjT58Y_22000_32000,-pnU9cjT58Y_22000_32000_pipa_1,train,0,The object making a sound by being played by the woman on the far left.
-pnU9cjT58Y_22000_32000,-pnU9cjT58Y_22000_32000_pipa_2,train,0,The object making a sound by being played by the woman with brown hair.
-pnU9cjT58Y_22000_32000,-pnU9cjT58Y_22000_32000_pipa_3,train,0,The object held by the woman on the far left.
-qymcBqBEN4_10000_20000,-qymcBqBEN4_10000_20000_car_1,train,1,The red car.
-qymcBqBEN4_10000_20000,-qymcBqBEN4_10000_20000_car_2,train,1,The car being on the right of the person.
-qymcBqBEN4_10000_20000,-qymcBqBEN4_10000_20000_car_3,train,1,The object near the sounding plane.
-qymcBqBEN4_10000_20000,-qymcBqBEN4_10000_20000_helicopter_1,train,0,The object that keeps making sound at all times.
